code;Feature;featureGroup;filename;execute
CTDC;Protein Sequence (PSF);CTDC;EssentialFeature_collection_CTDC.csv;1
APAAC;Protein Sequence (PSF);APAAC;EssentialFeature_collection_APAAC.csv;
AAC;Protein Sequence (PSF);AAC;EssentialFeature_collection_AAC.csv;1


