CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
TOPB45_0001,0.375,0.267857142857143,0.357142857142857,0.254464285714286,0.466517857142857,0.279017857142857,0.404017857142857,0.212053571428571,0.383928571428571,0.216517857142857,0.504464285714286,0.279017857142857,0.149553571428571,0.716517857142857,0.133928571428571,0.470982142857143,0.290178571428571,0.238839285714286,0.419642857142857,0.375,0.205357142857143
TOPB45_0002,0.331887201735358,0.316702819956616,0.351409978308026,0.325379609544469,0.422993492407809,0.251626898047722,0.379609544468547,0.27765726681128,0.342733188720174,0.260303687635575,0.488069414316703,0.251626898047722,0.143167028199566,0.709327548806941,0.147505422993492,0.446854663774403,0.284164859002169,0.268980477223427,0.462039045553145,0.331887201735358,0.206073752711497
TOPB45_0003,0.354581673306773,0.262948207171315,0.382470119521912,0.274900398406374,0.378486055776892,0.346613545816733,0.426294820717131,0.195219123505976,0.378486055776892,0.207171314741036,0.446215139442231,0.346613545816733,0.163346613545817,0.709163346613546,0.127490039840637,0.47808764940239,0.310756972111554,0.211155378486056,0.446215139442231,0.354581673306773,0.199203187250996
TOPB45_0004,0.293814432989691,0.371134020618557,0.335051546391753,0.34020618556701,0.381443298969072,0.278350515463918,0.407216494845361,0.298969072164948,0.293814432989691,0.268041237113402,0.45360824742268,0.278350515463918,0.123711340206186,0.77319587628866,0.103092783505155,0.443298969072165,0.298969072164948,0.257731958762887,0.45360824742268,0.293814432989691,0.252577319587629
TOPB45_0005,0.245614035087719,0.301169590643275,0.453216374269006,0.274853801169591,0.456140350877193,0.269005847953216,0.491228070175439,0.245614035087719,0.263157894736842,0.228070175438596,0.502923976608187,0.269005847953216,0.0994152046783626,0.821637426900585,0.0789473684210526,0.324561403508772,0.444444444444444,0.230994152046784,0.52046783625731,0.245614035087719,0.233918128654971
TOPB45_0006,0.280487804878049,0.347560975609756,0.371951219512195,0.371951219512195,0.378048780487805,0.25,0.408536585365854,0.310975609756098,0.280487804878049,0.317073170731707,0.432926829268293,0.25,0.121951219512195,0.804878048780488,0.0731707317073171,0.347560975609756,0.347560975609756,0.304878048780488,0.48780487804878,0.280487804878049,0.231707317073171
TOPB45_0007,0.214285714285714,0.392857142857143,0.392857142857143,0.464285714285714,0.401785714285714,0.133928571428571,0.401785714285714,0.383928571428571,0.214285714285714,0.392857142857143,0.473214285714286,0.133928571428571,0.0714285714285714,0.866071428571429,0.0625,0.3125,0.375,0.3125,0.5625,0.214285714285714,0.223214285714286
TOPB45_0008,0.304794520547945,0.35958904109589,0.335616438356164,0.38013698630137,0.376712328767123,0.243150684931507,0.404109589041096,0.291095890410959,0.304794520547945,0.315068493150685,0.441780821917808,0.243150684931507,0.0993150684931507,0.804794520547945,0.0958904109589041,0.308219178082192,0.373287671232877,0.318493150684932,0.445205479452055,0.304794520547945,0.25
TOPB45_0009,0.303212851405622,0.387550200803213,0.309236947791165,0.405622489959839,0.395582329317269,0.198795180722892,0.349397590361446,0.345381526104418,0.305220883534137,0.359437751004016,0.441767068273092,0.198795180722892,0.0803212851405622,0.849397590361446,0.070281124497992,0.299196787148594,0.315261044176707,0.385542168674699,0.463855421686747,0.303212851405622,0.232931726907631
TOPB45_0010,0.158102766798419,0.33596837944664,0.505928853754941,0.304347826086957,0.383399209486166,0.312252964426877,0.573122529644269,0.264822134387352,0.162055335968379,0.241106719367589,0.446640316205534,0.312252964426877,0.0869565217391304,0.873517786561265,0.0395256916996047,0.347826086956522,0.403162055335968,0.24901185770751,0.620553359683794,0.158102766798419,0.221343873517787
